hashed_id,rider_id,driver_id,fare,estimated_fare,ride_duration,estimated_ride_duration,ride_distance,estimated_ride_distance,status,rating,drivers_tried,undiscounted_fare,review_requested,discount,canceled_by,payment_type,status_rec,driver_assigned,canceled_by_type
94D03K,7656903,4887075,36,73,960,956,4350,4393,COMPLETED,5,"7430217,4887075,",73,0,36,,1,1,1,0
94EC46,3998684,3163187,31,63,613,917,3421,3421,COMPLETED,5,"3163187,",63,0,31,,1,1,1,0
94EK30,57641,2465141,32,64,514,525,2408,2408,COMPLETED,0,"2465141,",64,0,32,,1,1,1,0
94G2FQ,722093,1187794,44,89,1037,1010,4833,5894,COMPLETED,5,"1187794,",89,0,44,,1,1,1,0
94BAEL,4269052,3541185,204,227,2318,2081,13642,13642,COMPLETED,0,"3576081,3541185,",227,0,23,,1,1,1,0
94BRTJ,7376026,6516220,235,261,1742,1804,13073,13381,COMPLETED,0,"6516220,",261,0,26,,1,1,1,0
94CQ9B,6939950,4288602,40,79,1090,1061,4956,4956,COMPLETED,5,"4288602,",79,0,40,,1,1,1,0
94EB3L,2249667,7063513,34,68,919,788,4049,4049,COMPLETED,0,"1798235,1492489,665624,7291193,7063513,",68,0,34,,2,1,1,0
94F1TA,6839963,4616682,261,275,5175,3008,22557,22818,COMPLETED,5,"4616682,",290,0,29,,1,1,1,0
94F95T,1387535,5563762,48,85,1766,787,3104,3104,COMPLETED,5,"5563762,",95,0,48,,1,1,1,0
94FBPH,1600551,3038144,49,87,1870,651,4047,4047,COMPLETED,5,"3038144,",98,0,49,,1,1,1,0
94FKBC,1252647,6076408,26,52,765,657,2573,2573,COMPLETED,0,"4672466,2897907,2024453,1562033,6076408,",52,0,26,,1,1,1,0
94BO9Q,4687579,5862957,35,69,581,563,2323,2323,COMPLETED,5,"5862957,",69,0,35,,1,1,1,0
94C4HD,7718387,5255827,195,203,3090,1739,11977,11977,COMPLETED,5,"5255827,",216,0,22,,1,1,1,0
94E1AP,1678393,5264076,43,87,906,1004,5711,5711,COMPLETED,5,"3318277,2373455,1917872,5264076,",87,0,43,,1,1,1,0
94E79D,6098403,4700522,49,74,1388,1033,6587,4489,COMPLETED,0,"5723300,5956084,4700522,",98,0,49,,1,1,1,0
94EDEQ,7781773,7051403,207,30,5620,180,16592,0,COMPLETED,0,"6362386,353696,7051403,",230,0,23,,1,1,1,0
